session_id,user_id,device,os,minutes
0,0,tablet,ios,18
1,1,tablet,android,14
2,2,tablet,ios,25
3,3,mobile,ios,18
4,4,tablet,ios,20
5,5,tablet,ios,7
6,6,mobile,ios,26
7,7,tablet,ios,24
8,8,mobile,ios,20
9,9,tablet,android,26
10,10,tablet,ios,20
11,11,mobile,android,17
12,12,tablet,android,7
13,13,mobile,ios,10
14,14,mobile,android,32
15,15,tablet,ios,14
16,16,mobile,ios,30
17,17,tablet,android,12
18,18,mobile,android,15
19,19,mobile,android,29
20,20,mobile,android,25
21,21,tablet,ios,33
22,22,tablet,android,7
23,23,tablet,android,26
24,24,mobile,android,22
25,25,tablet,android,13
26,26,tablet,ios,30
27,27,mobile,ios,17
28,28,tablet,ios,9
29,29,mobile,ios,22
30,30,tablet,android,16
31,31,mobile,ios,34
32,32,mobile,ios,20
33,33,mobile,ios,7
34,34,mobile,ios,32
35,35,tablet,ios,27
36,36,mobile,ios,8
37,37,mobile,ios,7
38,38,tablet,android,19
39,39,tablet,ios,12
40,40,tablet,ios,20
41,41,mobile,android,19
42,42,mobile,android,34
43,43,tablet,android,22
44,44,mobile,android,18
45,45,mobile,ios,9
46,46,mobile,ios,12
47,47,mobile,ios,15
48,48,mobile,ios,31
49,49,mobile,ios,19
50,50,tablet,ios,11
51,51,tablet,android,20
52,52,mobile,ios,26
53,53,tablet,ios,16
54,54,mobile,ios,21
55,55,mobile,android,18
56,56,mobile,ios,18
57,57,mobile,ios,18
58,58,mobile,android,24
59,59,mobile,android,7
60,60,tablet,android,34
61,61,tablet,android,34
62,62,mobile,android,25
63,63,mobile,android,20
64,64,mobile,ios,22
65,65,mobile,ios,30
66,66,mobile,ios,11
67,67,tablet,ios,11
68,68,mobile,android,25
69,69,tablet,ios,25
70,70,mobile,ios,11
71,71,tablet,android,18
72,72,mobile,ios,30
73,73,tablet,android,12
74,74,mobile,ios,29
75,75,mobile,ios,22
76,76,tablet,ios,21
77,77,tablet,android,34
78,78,mobile,android,21
79,79,mobile,android,19
80,80,mobile,android,22
81,81,tablet,ios,33
82,82,tablet,android,9
83,83,tablet,ios,7
84,84,mobile,ios,16
85,85,tablet,ios,14
86,86,mobile,android,21
87,87,tablet,ios,14
88,88,tablet,android,7
89,89,mobile,ios,25
90,90,tablet,ios,26
91,91,mobile,android,16
92,92,mobile,ios,12
93,93,mobile,ios,16
94,94,mobile,android,16
95,95,mobile,ios,18
96,96,tablet,ios,22
97,97,mobile,ios,34
98,98,tablet,android,34
99,99,tablet,android,9
