session_id,user_id,device,os,minutes
0,0,mobile,android,34
1,1,tablet,ios,34
2,2,mobile,android,16
3,3,tablet,android,7
4,4,tablet,ios,13
5,5,tablet,android,32
6,6,mobile,ios,13
7,7,mobile,ios,20
8,8,mobile,ios,25
9,9,mobile,ios,26
10,10,tablet,ios,8
11,11,tablet,android,29
12,12,tablet,android,27
13,13,mobile,ios,17
14,14,tablet,ios,14
15,15,tablet,ios,32
16,16,mobile,ios,12
17,17,tablet,ios,20
18,18,tablet,android,11
19,19,mobile,ios,11
20,20,tablet,ios,12
21,21,tablet,ios,30
22,22,tablet,ios,7
23,23,mobile,android,22
24,24,tablet,ios,15
25,25,tablet,ios,14
26,26,mobile,android,26
27,27,mobile,ios,19
28,28,mobile,ios,28
29,29,mobile,android,21
30,30,mobile,ios,34
31,31,tablet,android,15
32,32,tablet,android,29
33,33,tablet,ios,14
34,34,tablet,ios,18
35,35,mobile,ios,31
36,36,mobile,android,7
37,37,mobile,android,7
38,38,tablet,ios,7
39,39,mobile,ios,7
40,40,tablet,ios,30
41,41,tablet,ios,22
42,42,mobile,android,15
43,43,tablet,ios,7
44,44,mobile,ios,21
45,45,mobile,ios,17
46,46,mobile,ios,7
47,47,tablet,ios,8
48,48,tablet,ios,18
49,49,mobile,ios,7
50,50,mobile,android,34
51,51,mobile,android,34
52,52,tablet,ios,25
53,53,mobile,ios,29
54,54,mobile,ios,29
55,55,tablet,android,26
56,56,tablet,ios,20
57,57,mobile,ios,14
58,58,tablet,android,21
59,59,tablet,ios,11
60,60,tablet,ios,24
61,61,mobile,ios,22
62,62,tablet,android,30
63,63,tablet,android,22
64,64,mobile,android,7
65,65,mobile,ios,12
66,66,tablet,android,19
67,67,tablet,android,33
68,68,tablet,android,20
69,69,tablet,android,9
70,70,mobile,ios,7
71,71,mobile,android,20
72,72,tablet,ios,12
73,73,mobile,ios,31
74,74,mobile,ios,7
75,75,tablet,ios,17
76,76,tablet,android,9
77,77,tablet,ios,9
78,78,tablet,ios,16
79,79,tablet,ios,15
80,80,tablet,ios,13
81,81,tablet,ios,20
82,82,mobile,ios,19
83,83,mobile,ios,23
84,84,mobile,ios,7
85,85,tablet,android,34
86,86,mobile,android,34
87,87,tablet,ios,18
88,88,mobile,ios,28
89,89,mobile,ios,10
90,90,tablet,ios,8
91,91,mobile,ios,7
92,92,mobile,android,34
93,93,mobile,ios,7
94,94,tablet,ios,23
95,95,mobile,ios,26
96,96,mobile,ios,13
97,97,tablet,android,32
98,98,mobile,android,26
99,99,tablet,ios,26
