session_id,user_id,device,os,minutes
0,0,mobile,android,34
1,1,mobile,ios,21
2,2,mobile,ios,18
3,3,mobile,ios,13
4,4,mobile,android,17
5,5,mobile,android,18
6,6,mobile,android,17
7,7,mobile,ios,18
8,8,mobile,ios,14
9,9,mobile,android,29
10,10,tablet,ios,21
11,11,tablet,android,22
12,12,mobile,ios,17
13,13,mobile,ios,19
14,14,tablet,android,22
15,15,mobile,android,7
16,16,tablet,ios,17
17,17,mobile,android,29
18,18,mobile,android,16
19,19,tablet,android,18
20,20,mobile,ios,7
21,21,mobile,ios,28
22,22,mobile,android,10
23,23,mobile,ios,12
24,24,tablet,ios,32
25,25,mobile,ios,7
26,26,tablet,android,32
27,27,mobile,android,21
28,28,tablet,ios,20
29,29,tablet,ios,26
30,30,tablet,ios,7
31,31,tablet,ios,34
32,32,mobile,android,30
33,33,mobile,ios,34
34,34,mobile,android,34
35,35,tablet,android,34
36,36,tablet,ios,9
37,37,tablet,ios,8
38,38,mobile,android,7
39,39,mobile,android,29
40,40,mobile,ios,31
41,41,tablet,ios,18
42,42,mobile,ios,16
43,43,tablet,android,18
44,44,mobile,ios,13
45,45,tablet,ios,13
46,46,mobile,android,9
47,47,mobile,android,18
48,48,mobile,ios,19
49,49,tablet,ios,12
50,50,mobile,android,34
51,51,tablet,ios,16
52,52,mobile,ios,18
53,53,mobile,android,20
54,54,mobile,android,20
55,55,mobile,ios,25
56,56,tablet,ios,30
57,57,mobile,ios,15
58,58,mobile,android,17
59,59,mobile,android,7
60,60,tablet,ios,8
61,61,mobile,ios,29
62,62,mobile,android,27
63,63,tablet,ios,12
64,64,mobile,android,30
65,65,mobile,ios,28
66,66,tablet,ios,27
67,67,mobile,ios,10
68,68,mobile,android,16
69,69,mobile,ios,7
70,70,mobile,ios,10
71,71,mobile,ios,32
72,72,mobile,android,20
73,73,tablet,ios,14
74,74,mobile,android,7
75,75,mobile,android,7
76,76,mobile,ios,10
77,77,mobile,android,28
78,78,tablet,ios,20
79,79,tablet,ios,16
80,80,tablet,android,30
81,81,tablet,ios,15
82,82,mobile,android,29
83,83,tablet,ios,11
84,84,mobile,android,20
85,85,mobile,ios,23
86,86,mobile,android,13
87,87,tablet,ios,7
88,88,mobile,android,23
89,89,mobile,ios,28
90,90,tablet,ios,13
91,91,tablet,ios,18
92,92,tablet,ios,21
93,93,mobile,android,25
94,94,mobile,android,17
95,95,mobile,android,28
96,96,mobile,android,7
97,97,mobile,android,18
98,98,mobile,ios,12
99,99,mobile,android,19
