student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
17478,M,40.89,87.36,Arts,91.0,Others,True,0,50.0,Mkt&Fin,73.11,,False,,2020-01-10,
17478,M,89.4,37.0,Arts,91.0,Comm&Mgmt,True,0,50.0,Mkt&HR,73.11,,False,,2020-05-24,
17452,M,89.4,87.36,Arts,91.0,Comm&Mgmt,True,0,50.0,Mkt&HR,73.11,,False,,,
17295,M,40.89,97.7,Arts,91.0,Comm&Mgmt,False,1,50.0,Mkt&HR,51.21,,False,,2020-07-03,
17295,M,89.4,97.7,Arts,91.0,Comm&Mgmt,False,1,50.0,Mkt&Fin,51.21,37100.0,True,,2021-06-06,
17295,M,89.4,97.7,Arts,91.0,Comm&Mgmt,False,1,50.0,Mkt&HR,51.21,,False,,2020-07-03,
17264,M,89.4,87.36,Commerce,91.0,Comm&Mgmt,True,1,50.0,Mkt&HR,51.21,94000.0,True,,,
17478,M,89.4,37.0,Science,91.0,Comm&Mgmt,False,0,50.0,Mkt&HR,73.11,,False,,2020-07-03,
17264,M,40.89,37.0,Arts,86.96,Others,True,0,50.0,Mkt&HR,73.11,94000.0,False,,2020-07-21,
17295,M,40.89,97.7,Arts,50.0,Others,False,1,50.0,Mkt&HR,51.21,20000.0,False,,,
17478,M,89.4,87.36,Arts,91.0,Comm&Mgmt,True,3,50.0,Mkt&HR,51.21,,True,,,
17295,M,89.4,87.36,Arts,91.0,Comm&Mgmt,True,1,50.0,Mkt&Fin,51.21,,True,,,
17478,M,89.4,97.7,Arts,91.0,Comm&Mgmt,True,1,50.0,Mkt&HR,51.21,,False,,2020-07-03,
17264,M,89.4,97.7,Arts,91.0,Comm&Mgmt,True,1,50.0,Mkt&Fin,73.11,20000.0,True,,2020-01-10,
17295,M,89.4,97.7,Arts,91.0,Comm&Mgmt,True,1,50.0,Mkt&HR,73.11,,True,,2020-07-21,
17478,M,89.4,97.7,Arts,91.0,Comm&Mgmt,True,3,50.0,Mkt&HR,51.21,,False,,,
17478,M,89.4,88.44,Arts,91.0,Comm&Mgmt,False,3,50.0,Mkt&HR,73.11,,True,,2020-07-03,
17478,M,89.4,37.0,Arts,91.0,Comm&Mgmt,False,0,50.0,Mkt&Fin,73.11,20000.0,False,,2020-07-21,
17478,M,89.4,97.7,Arts,91.0,Comm&Mgmt,True,3,50.0,Mkt&HR,51.21,,True,,2020-07-21,
17478,M,89.4,37.0,Arts,50.0,Sci&Tech,False,0,50.0,Mkt&HR,73.11,,False,,2020-07-03,
17264,M,89.4,42.54,Arts,91.0,Comm&Mgmt,True,1,50.0,Mkt&Fin,51.21,20000.0,True,,,
17478,M,89.4,97.7,Arts,91.0,Comm&Mgmt,True,1,50.0,Mkt&HR,73.11,20000.0,False,,,
