student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
17428,M,88.71,78.67,Commerce,53.23,Comm&Mgmt,False,0,98.0,Mkt&HR,77.56,,False,2020-01-13,2021-01-18,5.0
17279,M,86.95,71.47,Commerce,56.04,Sci&Tech,True,0,91.33,Mkt&HR,62.61,26400.0,True,,2021-02-07,
17478,F,52.54,97.7,Science,71.32,Comm&Mgmt,False,1,98.0,Mkt&Fin,77.89,28000.0,True,,,
17264,M,74.56,72.26,Science,85.66,Comm&Mgmt,False,0,75.83,Mkt&Fin,71.87,27000.0,False,,2020-09-01,
17367,M,81.83,78.79,Science,73.08,Comm&Mgmt,False,0,58.62,Mkt&HR,53.83,,True,,,4.0
17328,M,88.82,70.02,Commerce,73.29,Comm&Mgmt,False,0,70.53,Mkt&HR,77.89,29400.0,True,,2021-05-13,
17283,M,58.84,67.41,Arts,72.31,Sci&Tech,True,0,89.06,Mkt&Fin,55.34,25900.0,False,,2020-08-28,6.0
17389,M,82.53,51.5,Commerce,78.13,Comm&Mgmt,False,0,89.23,Mkt&Fin,65.94,26400.0,True,2020-02-20,2020-07-27,6.0
17359,F,83.64,70.38,Commerce,58.28,Comm&Mgmt,False,0,98.0,Mkt&Fin,75.27,26000.0,False,2020-03-12,,
17268,M,84.27,79.49,Commerce,77.94,Comm&Mgmt,False,0,86.03,Mkt&Fin,76.32,20000.0,True,2020-03-05,2020-11-03,4.0
17364,M,86.58,65.48,Commerce,52.89,Comm&Mgmt,False,1,79.25,Mkt&Fin,67.94,,True,,,
17392,M,89.4,77.43,Commerce,51.93,Comm&Mgmt,False,0,90.17,Mkt&HR,56.35,,True,2020-01-02,2020-07-23,
17387,M,79.25,49.66,Commerce,57.53,Comm&Mgmt,True,0,50.0,Mkt&Fin,56.99,,True,2020-05-16,,6.0
17370,F,70.02,66.45,Commerce,66.16,Comm&Mgmt,False,0,94.21,Mkt&HR,67.17,,True,2020-02-10,2020-07-08,4.0
17303,F,80.93,60.93,Science,65.52,Comm&Mgmt,False,0,55.99,Mkt&HR,72.32,20000.0,True,,,
17331,M,80.23,66.4,Commerce,74.67,Comm&Mgmt,False,0,80.47,Mkt&Fin,77.05,,True,,2021-04-19,6.0
