student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
17438,M,89.02,57.71,Science,75.47,Comm&Mgmt,True,0,52.06,Mkt&Fin,51.85,21300.0,True,2020-02-14,,
17416,M,75.15,86.72,Arts,66.9,Sci&Tech,False,2,91.63,Mkt&Fin,53.7,26200.0,True,,,
17406,F,58.72,61.34,Science,73.38,Comm&Mgmt,False,2,80.13,Mkt&HR,51.34,,False,,,3.0
17267,F,85.08,45.08,Arts,78.58,Sci&Tech,True,0,62.28,Mkt&Fin,52.15,21400.0,True,2020-03-17,,3.0
17343,M,70.94,74.63,Commerce,67.55,Comm&Mgmt,False,1,70.34,Mkt&Fin,51.3,20000.0,True,,2020-08-14,
17320,M,67.59,63.94,Commerce,70.92,Sci&Tech,False,0,87.6,Mkt&Fin,51.24,,True,2020-01-02,2020-03-20,
17273,F,57.54,60.63,Commerce,54.57,Sci&Tech,False,0,95.88,Mkt&Fin,51.22,,False,2020-01-12,,
17303,M,75.95,39.92,Commerce,80.68,Comm&Mgmt,True,0,67.28,Mkt&Fin,52.31,26800.0,True,2020-03-03,,3.0
17470,M,85.23,59.73,Science,68.92,Comm&Mgmt,False,0,97.59,Mkt&Fin,51.24,,True,2020-07-22,,
17274,F,73.69,52.71,Science,82.73,Comm&Mgmt,True,1,57.5,Mkt&Fin,58.3,26800.0,False,,2020-06-20,3.0
17301,M,67.39,62.79,Commerce,80.96,Comm&Mgmt,False,1,83.31,Mkt&Fin,51.32,22000.0,False,2020-04-03,,6.0
17464,M,81.3,52.35,Arts,78.45,Sci&Tech,False,0,96.13,Mkt&Fin,59.91,,False,,2020-12-26,
17286,F,73.81,58.93,Science,63.29,Comm&Mgmt,False,0,60.76,Mkt&Fin,56.54,28000.0,True,2020-04-01,2020-09-15,
17308,M,69.8,55.79,Commerce,66.0,Sci&Tech,False,0,60.33,Mkt&Fin,52.68,,True,2020-03-30,2020-09-29,
17478,M,74.0,91.6,Arts,79.14,Comm&Mgmt,False,0,70.66,Mkt&HR,58.33,,False,,2020-08-14,7.0
17284,F,44.01,59.76,Science,79.48,Others,False,0,97.25,Mkt&Fin,51.33,,True,2020-07-28,,
17280,F,74.83,52.02,Science,66.24,Comm&Mgmt,False,1,88.19,Mkt&HR,66.91,25900.0,True,,,
17375,F,68.22,40.63,Commerce,76.22,Comm&Mgmt,False,0,62.14,Mkt&Fin,53.83,,True,2020-01-21,2020-08-28,
