student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
0,F,40.89,97.7,Science,50.0,Sci&Tech,True,3,50.0,Mkt&Fin,51.21,20000.0,False,2019-10-30 00:29:50.137229056,2020-06-28 10:07:59.519196928,
1,M,40.89,97.7,Commerce,91.0,Sci&Tech,True,3,98.0,Mkt&Fin,51.21,,False,2020-01-14 14:58:05.391779072,2020-05-19 23:49:25.099874560,
2,F,89.4,37.0,Arts,50.0,Comm&Mgmt,True,0,50.0,Mkt&Fin,51.21,20000.0,True,2020-04-02 21:54:16.328649216,,
3,M,40.89,37.0,Science,91.0,Comm&Mgmt,True,0,50.0,Mkt&Fin,77.89,20000.0,True,,,
4,F,89.4,37.0,Commerce,50.0,Comm&Mgmt,True,3,50.0,Mkt&Fin,77.89,20000.0,False,2020-03-20 20:12:28.262299392,2020-10-28 08:31:37.066500096,
5,M,40.89,37.0,Commerce,50.0,Sci&Tech,False,0,50.0,Mkt&HR,77.89,,True,2020-03-22 02:51:56.918831104,,3.0
6,F,89.4,97.7,Science,50.0,Comm&Mgmt,False,0,98.0,Mkt&HR,51.21,20000.0,False,2020-06-12 14:33:05.423917568,,3.0
7,F,40.89,97.7,Commerce,50.0,Sci&Tech,False,3,98.0,Mkt&Fin,51.21,20000.0,True,2019-12-21 04:55:19.392702464,2020-05-24 14:43:25.533271040,
8,M,89.4,37.0,Commerce,91.0,Others,True,3,50.0,Mkt&Fin,77.89,,False,2020-06-26 18:55:46.493447168,2020-05-23 20:20:56.195927296,3.0
9,M,89.4,97.7,Commerce,50.0,Comm&Mgmt,False,0,50.0,Mkt&Fin,51.21,20000.0,False,,2020-04-29 08:12:28.458326528,
10,M,89.4,37.0,Science,91.0,Comm&Mgmt,True,0,98.0,Mkt&Fin,77.89,,True,2020-06-21 00:53:30.333766144,2021-01-08 19:11:37.806255104,
11,F,40.89,37.0,Science,50.0,Comm&Mgmt,True,3,98.0,Mkt&Fin,77.89,,False,2020-02-03 22:03:07.352729856,2021-01-24 20:22:52.570335488,
