student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
0,M,75.50024505933753,89.86113839957336,Commerce,60.94035183152229,Sci&Tech,False,0,64.51086934200003,Mkt&Fin,66.18489979211218,,True,2020-04-12 05:50:59.683412992,2020-10-27 05:16:29.028810752,
1,F,74.80928547684222,37.0,Science,73.48677870550183,Comm&Mgmt,False,0,67.22179214414692,Mkt&HR,70.50831269045761,,True,2020-02-07 11:06:14.355353344,,6.0
2,F,72.42112580184634,42.46668268695811,Commerce,63.49945804275869,Comm&Mgmt,False,1,76.52861810818055,Mkt&Fin,63.03164317649824,34455.0,False,2020-04-06 03:31:57.016106240,2020-08-13 18:54:58.794517504,
3,M,58.732186805327025,59.49720305536745,Science,62.046602696294585,Comm&Mgmt,True,0,76.48600511535925,Mkt&Fin,54.280106708202965,23616.0,True,2020-04-30 12:35:30.307182592,,3.0
4,M,59.6004030672784,52.28537939891764,Science,69.16401307298261,Comm&Mgmt,False,0,50.0,Mkt&Fin,62.62583774244324,31952.0,True,2019-12-19 04:34:17.577920512,2020-06-17 18:48:02.047332096,6.0
5,M,81.01485228274484,66.72338186628286,Commerce,66.4718859690964,Sci&Tech,True,0,65.20971054513677,Mkt&Fin,55.791531113141495,,True,,2020-08-04 20:42:20.201973760,
6,M,64.94426035113514,59.64969692101388,Commerce,79.8521033418085,Sci&Tech,True,2,96.97201218659708,Mkt&HR,71.58091385104895,22973.0,True,2020-02-24 06:46:46.883756032,2020-08-09 09:23:52.047357440,
7,M,73.17534910179359,60.36836782408482,Science,72.69713209813092,Sci&Tech,False,1,66.48870267247743,Mkt&Fin,58.77848448778335,24967.0,True,2019-12-31 11:27:25.630884608,2021-01-06 20:52:13.492776704,3.0
8,F,71.26273643549534,70.499609285451,Science,76.00656120852962,Comm&Mgmt,True,0,79.45512394902768,Mkt&Fin,69.81514744894449,,True,2020-04-16 18:54:32.221352192,2020-10-08 18:14:49.437860864,3.0
9,F,70.57788416098653,80.72800013231281,Commerce,78.32744116102789,Sci&Tech,False,1,86.83989373366526,Mkt&Fin,61.407692774293224,24877.0,False,2019-12-07 09:12:05.353669888,2020-08-06 08:36:14.715389696,
10,M,58.701000933937166,57.369408322040876,Science,83.79047741579613,Comm&Mgmt,False,0,64.82267777392218,Mkt&Fin,62.97282440316057,23534.0,False,,,6.0
11,F,68.39543869217246,65.8576981931932,Commerce,58.8289544566093,Sci&Tech,True,0,68.66720889227064,Mkt&HR,59.473211450196644,,True,,,
12,M,63.44705942152066,88.6398927820745,Science,54.293636729238195,Sci&Tech,False,1,71.0478958691083,Mkt&Fin,61.65895815124044,38485.0,False,,2020-06-13 05:29:53.529238784,
13,F,65.58815869843754,74.98203679426483,Commerce,61.476480890942696,Others,False,1,84.15492522662507,Mkt&Fin,59.069784836204626,,True,2020-03-01 01:55:05.224610560,2020-03-13 01:22:01.532289024,3.0
14,M,55.948754649268004,59.32338173779992,Science,68.28164076858518,Comm&Mgmt,True,0,70.23079476652293,Mkt&HR,61.693561900661614,,True,2020-02-02 23:10:33.080230656,2020-12-08 02:09:06.407575296,6.0
15,M,69.17897996100896,51.20281826874,Science,74.1919093586209,Sci&Tech,False,1,75.77598250303667,Mkt&HR,67.3352666177168,20000.0,True,2019-11-26 15:58:24.194342656,2020-09-15 06:24:58.716278016,
16,M,55.937529932805255,50.687189232283544,Science,72.81626829194217,Sci&Tech,False,0,73.80560650580004,Mkt&Fin,58.99624105170744,,True,2019-12-02 12:26:56.871671040,2020-08-22 19:45:11.523543296,
17,M,66.90417641257714,59.204266212685425,Commerce,69.92685348064667,Comm&Mgmt,True,1,76.26764368603489,Mkt&HR,56.37658493647284,20000.0,True,2020-06-20 08:29:20.908286976,2020-09-01 06:02:06.954274816,3.0
18,M,40.89,66.1721730763404,Science,65.69895509089201,Comm&Mgmt,True,0,59.850468695178726,Mkt&HR,70.92647687348912,27778.0,True,2019-09-23 21:41:25.963696128,,3.0
19,M,71.3675467127252,63.57491202258194,Commerce,66.14156342007814,Sci&Tech,True,0,73.1235564889142,Mkt&Fin,58.44091769207682,27572.0,False,2020-05-08 12:33:46.736492288,2020-09-09 05:49:57.317219072,3.0
20,M,69.71112814168357,66.80815357902527,Science,58.811274066386254,Others,False,0,50.0,Mkt&HR,59.742353295537406,20298.0,True,2020-02-16 21:00:09.739097600,2020-04-26 18:08:41.340398080,
21,F,71.24353206670948,83.15576886770934,Science,65.57278764683034,Comm&Mgmt,True,0,68.59580054801233,Mkt&Fin,57.84542783893589,20303.0,True,2020-02-25 16:14:02.824562432,2020-11-13 12:08:20.714518528,
22,F,71.70673037416094,73.93473734451582,Commerce,50.0,Comm&Mgmt,False,0,69.92956802530034,Mkt&HR,69.76898618348517,25522.0,True,2020-01-20 19:50:11.986462976,2020-08-28 17:55:09.786102016,
23,M,80.3943302823459,65.1505334121211,Science,70.81615869662697,Comm&Mgmt,False,1,81.5711578520321,Mkt&Fin,56.01306865743234,26239.0,False,2020-04-06 09:54:40.797388032,2020-09-24 08:33:42.361345792,3.0
24,M,69.03667774793146,63.73895227738419,Commerce,62.10551252706232,Sci&Tech,True,1,59.332538229779324,Mkt&HR,60.03321460296178,,True,2020-05-02 16:13:37.376361728,2020-10-27 12:48:29.555867392,
25,F,55.38558412426828,43.65761802356991,Science,76.60659911737949,Comm&Mgmt,True,0,87.9343567869609,Mkt&Fin,65.67672466644177,,True,2019-12-31 01:04:02.788297472,,3.0
26,F,64.11303372635999,69.19530172325985,Arts,64.47919294495932,Comm&Mgmt,False,1,75.64966190367048,Mkt&Fin,70.80900981074858,20000.0,True,2020-03-07 01:58:47.972858368,,
27,M,64.80644481587015,91.80964455487859,Science,69.28056797657923,Comm&Mgmt,True,1,74.15730179393798,Mkt&HR,51.21,31682.0,True,2020-05-13 11:07:28.753188096,2020-08-26 06:43:51.660172800,
28,M,72.16804902874462,72.62033840461127,Science,66.84262385267681,Comm&Mgmt,False,1,83.7419968651124,Mkt&HR,57.68436673347139,35563.0,True,2020-05-06 05:37:09.143972096,2020-10-15 00:46:33.496768512,3.0
29,F,60.331821410423935,77.58124569372583,Commerce,61.57846973249317,Sci&Tech,False,1,57.31275802884908,Mkt&HR,56.06588591130481,,True,,2021-02-10 04:09:43.209490176,
30,M,76.49357181635752,60.158787756245985,Science,61.21496688586727,Sci&Tech,False,1,62.85234793493943,Mkt&Fin,68.67073963866765,32407.0,True,2020-03-13 05:43:04.273420288,2020-07-03 20:54:09.893281792,
31,M,65.79890988541737,66.71068499778148,Commerce,65.2188309230447,Sci&Tech,False,0,84.73167256092727,Mkt&HR,59.484454452477024,,False,,2020-10-21 00:18:45.790959616,
32,F,82.86435408277592,73.16394839617807,Commerce,74.58110873393618,Sci&Tech,False,1,84.97568695720305,Mkt&HR,72.78541616407314,23561.0,False,2020-01-05 13:36:32.788278016,2020-08-14 04:04:54.539974400,
33,F,70.16161731997012,78.51569931245712,Science,82.10757058469535,Comm&Mgmt,False,1,84.51915983313151,Mkt&HR,62.09447863241898,,False,2020-03-19 14:41:08.908581376,2020-12-14 12:13:43.800552192,
34,M,58.17033844687327,67.14346739020868,Commerce,59.97821730057194,Sci&Tech,True,0,59.043701987967204,Mkt&HR,63.45543250595712,36841.0,True,2020-02-03 13:00:37.486580480,2020-08-06 11:53:04.890657536,6.0
35,F,62.32829121190008,63.46498867229914,Commerce,61.68247834553088,Comm&Mgmt,True,0,78.45124149407731,Mkt&Fin,63.75204971451542,24915.0,True,2020-04-09 15:23:20.688207360,2020-08-17 06:08:33.827160320,3.0
36,M,76.82330928021145,61.833006193629444,Commerce,70.18143279463371,Comm&Mgmt,True,1,98.0,Mkt&HR,57.07292818754883,40134.0,True,2020-06-30 16:08:25.175978496,2021-02-01 02:25:44.372702976,
37,M,68.81780301829906,54.97665190367018,Commerce,59.075480804606116,Comm&Mgmt,False,0,74.82578460338028,Mkt&HR,57.89768044334145,25353.0,True,,2020-04-03 00:16:15.796635648,
38,F,72.89979112211918,44.155216853788104,Science,56.69280893347761,Comm&Mgmt,False,0,71.90765069455173,Mkt&Fin,70.30392876477319,20000.0,False,2020-01-18 03:09:26.052460288,2020-03-11 01:48:21.095639552,
39,M,82.16554361090535,63.41301044769121,Commerce,75.82778080863449,Comm&Mgmt,False,0,86.00241242421497,Mkt&HR,59.96972722881004,,True,2020-03-07 03:21:36.731635200,2020-12-17 18:45:20.835102720,
40,F,71.48199406344548,68.93699644314177,Arts,67.77251138890958,Comm&Mgmt,False,2,82.06238989038663,Mkt&Fin,55.7952419430931,27785.0,True,2020-03-27 13:19:12.364192000,2020-07-09 22:21:21.936254976,
41,M,72.8075558186166,46.68568275936207,Science,72.33235772185904,Sci&Tech,False,0,75.38520602800689,Mkt&HR,67.53910984060681,23008.0,True,2020-03-01 15:41:30.268421376,,
42,M,76.73468717070558,63.96408918792168,Science,56.74219539393189,Comm&Mgmt,False,0,66.70465507222427,Mkt&Fin,61.14759407591638,34758.0,True,2020-03-27 18:26:55.331142656,,
43,F,50.327271133599794,61.31929692821287,Commerce,69.27502844112558,Comm&Mgmt,False,0,79.07601850677213,Mkt&HR,51.21,,False,2019-12-07 22:40:05.329803264,,6.0
44,M,48.774961530791025,58.78001779836046,Commerce,63.31949303145095,Sci&Tech,True,0,70.91392909762381,Mkt&Fin,63.79091188417935,35920.0,False,2020-05-16 06:22:39.488467712,2020-09-14 01:14:37.123448320,3.0
45,M,63.26810457447431,57.96140170226308,Commerce,66.90484494894375,Comm&Mgmt,True,0,73.54847704536793,Mkt&Fin,61.549891095096974,25209.0,False,2020-02-20 15:08:54.993932800,2020-07-11 07:27:47.564073472,
46,F,67.05829599576464,72.74283714009437,Science,69.77290221850492,Comm&Mgmt,False,1,79.31669835482168,Mkt&Fin,67.7822208114543,23434.0,True,2020-03-11 11:04:10.061448448,,
47,M,58.42079916586613,55.65678452561771,Science,63.14399776318318,Comm&Mgmt,True,0,51.63769874700059,Mkt&HR,69.20596735003963,22760.0,True,,2020-07-26 07:04:58.974891264,
48,M,66.09710360529124,58.210688638054506,Commerce,76.74309538881714,Sci&Tech,False,0,56.41753391572296,Mkt&Fin,65.46871014488451,32712.0,False,2020-02-10 13:03:59.850059264,2020-09-30 18:19:20.887995392,3.0
49,M,75.49274765627709,63.046281125819824,Science,57.00688407969708,Comm&Mgmt,False,0,76.80554931118796,Mkt&HR,63.606883285425276,33277.0,False,2020-03-12 09:33:32.671269376,2020-06-05 04:25:12.302358528,12.0
50,M,66.39964753039594,61.528325238930435,Science,68.76750419806191,Comm&Mgmt,False,1,81.03275473849706,Mkt&Fin,61.069310551332116,,True,2020-01-13 14:26:41.288170240,2020-07-09 03:10:17.296124672,
51,M,78.66245110149545,59.77869424141914,Science,66.59062297362803,Comm&Mgmt,False,0,80.3325579621012,Mkt&HR,59.87939656549778,24324.0,True,2020-07-15 16:53:18.882659840,2020-10-10 12:38:37.440976640,
52,M,78.77914446035213,58.314253735952434,Commerce,60.381910410997115,Comm&Mgmt,True,0,75.10533576871947,Mkt&Fin,61.84941258914299,24172.0,True,,,3.0
53,M,74.02712395381339,66.80201735804029,Commerce,66.838858477282,Comm&Mgmt,False,0,88.2553166257888,Mkt&Fin,65.3135180442675,23867.0,False,2019-09-27 19:33:16.903644928,2020-10-13 21:25:45.469148416,
54,M,52.79166962364617,69.55522512796553,Commerce,67.93602394018016,Sci&Tech,False,1,74.64373182491556,Mkt&Fin,67.37638358767371,25523.0,True,,,
55,F,86.56170923174867,73.52847815051163,Commerce,68.6228224623474,Comm&Mgmt,False,0,80.25773423534997,Mkt&HR,63.05791510919247,28245.0,True,2020-03-08 11:55:04.694334464,2020-07-22 05:16:19.018647552,3.0
56,M,67.78264867066524,64.09729380078159,Commerce,50.0,Others,False,2,87.4826144567931,Mkt&Fin,62.749967695209094,,True,2020-02-06 19:33:51.325153280,,
57,M,74.63231174898479,69.52213004891414,Science,61.54455000704233,Comm&Mgmt,False,0,52.79163186930334,Mkt&Fin,67.98487349159747,35445.0,True,,,
58,F,67.03920337062152,75.33785123751558,Commerce,63.071127652312164,Sci&Tech,True,1,81.71257994509195,Mkt&HR,76.26405208359026,34501.0,True,2020-06-08 09:50:57.769353984,2020-09-28 01:45:09.131613696,6.0
59,M,61.05689931843738,61.36952172521855,Commerce,56.536551388091596,Comm&Mgmt,True,1,74.72440392179736,Mkt&Fin,58.295333437498954,20000.0,True,2020-01-29 06:38:53.192598016,,6.0
60,F,64.74747072156478,70.51001656854635,Science,62.657253181510015,Comm&Mgmt,True,1,64.34520234243423,Mkt&Fin,61.53465527664416,24540.0,False,,2020-09-25 12:43:51.107048192,
61,F,63.87522302349955,72.29306298926171,Arts,66.27596181836273,Comm&Mgmt,False,1,73.84253984081518,Mkt&Fin,57.597644437111924,37463.0,False,,2020-08-30 09:08:30.935833088,
62,F,61.953470009729,51.79136838618843,Commerce,66.65691132330751,Sci&Tech,True,0,71.04617033019657,Mkt&Fin,59.74613025197938,,True,2020-04-01 21:37:20.307204608,2020-07-16 07:02:28.099564544,3.0
63,M,69.83702420765991,69.88502541200451,Science,81.1526320511729,Comm&Mgmt,False,0,79.73387603477023,Mkt&HR,54.47526906778044,,True,,,3.0
64,M,74.39228077204687,66.6301201029649,Science,82.37222017948656,Comm&Mgmt,True,1,75.06593541417932,Mkt&Fin,63.58455443334607,20000.0,False,,2020-05-21 02:29:50.367809280,3.0
65,F,71.79766327969102,76.53116751773648,Commerce,52.9897907213947,Comm&Mgmt,True,0,66.8275135942024,Mkt&Fin,67.49434802052153,28740.0,True,,,3.0
66,M,59.48058423062703,61.83519276566611,Science,67.73921195187297,Comm&Mgmt,True,0,52.21659768375409,Mkt&Fin,56.63126731820992,,False,2020-04-08 05:05:35.829173504,,
67,F,79.81944832415824,69.28435893859195,Commerce,69.4708026751402,Comm&Mgmt,False,0,75.52662096811686,Mkt&HR,63.630379442020285,36244.0,True,,2020-06-19 13:29:49.505554432,
68,M,65.86894669598969,72.44457844656178,Science,64.48397853642153,Comm&Mgmt,False,0,72.27793316407997,Mkt&Fin,64.58299489442666,,False,,,
69,M,59.66120406103756,62.50198925415851,Commerce,68.04020725809313,Comm&Mgmt,True,0,71.2475844113191,Mkt&Fin,70.94929601878022,20000.0,False,2020-02-27 22:02:59.112086784,2020-02-26 18:18:54.246491904,
70,M,61.52121214544002,63.475522275890874,Commerce,69.39197198018122,Comm&Mgmt,False,0,70.0079707821028,Mkt&HR,53.45839568934515,27394.0,True,2019-11-25 09:42:48.036745728,2020-05-17 00:24:58.387873024,3.0
71,F,57.512889900954505,68.26619166312847,Commerce,56.469182920387965,Sci&Tech,True,1,69.81598396359419,Mkt&HR,66.37866900753599,,True,2020-04-06 21:34:55.095762432,2020-06-10 03:48:09.208358912,3.0
72,M,49.76962619395198,45.28113235186753,Science,75.19759455831533,Sci&Tech,False,0,55.255232794836886,Mkt&Fin,70.5586818048698,27936.0,True,2019-07-24 11:24:46.029277696,2020-10-07 22:47:33.821115136,
73,F,89.4,74.77267465539438,Commerce,80.8853684946329,Comm&Mgmt,False,1,98.0,Mkt&HR,74.37026444928664,25257.0,True,,2020-09-10 18:51:19.504444416,
74,M,70.74428163404784,47.76944832062316,Science,68.65447166190279,Sci&Tech,False,1,79.14857978667715,Mkt&HR,59.625106947851435,,False,2020-03-28 14:27:11.316672256,,
75,M,68.08204808782294,67.29847846294585,Commerce,62.84012442746954,Comm&Mgmt,False,1,82.6359015581419,Mkt&HR,63.6831669984082,20000.0,True,2020-02-09 11:37:30.939806208,2020-08-04 07:29:57.835819776,
