student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
17455,M,78.82,64.94,Commerce,80.61,Sci&Tech,True,1,70.29,Mkt&HR,64.41,21700.0,True,,,4.0
17282,M,59.52,65.14,Commerce,55.44,Comm&Mgmt,False,0,73.84,Mkt&Fin,61.5,,False,2020-02-04,2020-04-02,8.0
17304,F,60.57,55.78,Commerce,69.33,Comm&Mgmt,False,1,53.71,Mkt&HR,67.74,,False,,2020-08-15,
17415,F,58.1,71.67,Commerce,76.4,Sci&Tech,False,1,67.35,Mkt&Fin,69.7,,False,2020-01-29,,7.0
17463,M,73.05,55.23,Commerce,59.55,Comm&Mgmt,True,0,76.79,Mkt&Fin,55.15,25500.0,True,,2020-09-20,4.0
17416,M,79.27,70.99,Science,74.18,Sci&Tech,True,0,62.92,Mkt&HR,58.04,23700.0,True,,2020-04-23,4.0
17276,M,59.15,75.5,Commerce,61.21,Sci&Tech,False,0,78.54,Mkt&Fin,63.35,,False,,,
17435,M,86.35,54.65,Science,61.5,Comm&Mgmt,True,0,57.28,Mkt&HR,53.0,32700.0,True,,2020-06-29,4.0
17401,M,80.72,56.17,Commerce,68.52,Sci&Tech,True,0,84.46,Mkt&HR,67.02,22800.0,True,2020-06-02,2020-09-26,4.0
17458,F,70.11,51.96,Commerce,84.26,Comm&Mgmt,True,1,93.14,Mkt&HR,58.67,23500.0,True,,2020-12-14,
17321,M,75.03,40.53,Science,67.4,Others,True,0,57.64,Mkt&HR,59.91,45900.0,True,,2020-10-23,7.0
17431,M,64.1,70.25,Science,68.16,Comm&Mgmt,False,0,91.72,Mkt&Fin,51.54,,False,,2020-12-27,4.0
17339,M,70.93,67.16,Commerce,68.81,Others,True,0,83.95,Mkt&HR,64.08,43000.0,True,,2020-10-04,
17439,M,77.81,53.2,Commerce,53.42,Sci&Tech,True,1,87.6,Mkt&HR,67.02,32100.0,True,,2020-08-14,7.0
17330,F,72.05,78.69,Science,60.72,Comm&Mgmt,True,1,53.57,Mkt&HR,60.43,34100.0,True,2020-04-07,,8.0
17318,F,51.63,89.43,Commerce,53.48,Sci&Tech,False,1,61.85,Mkt&Fin,69.86,,False,,,
17335,M,70.14,77.38,Commerce,61.9,Sci&Tech,True,0,51.33,Mkt&Fin,66.01,26700.0,True,2020-03-26,,
17404,F,76.86,67.07,Science,53.48,Sci&Tech,True,1,86.79,Mkt&HR,63.31,27500.0,True,,2020-11-30,7.0
17421,M,57.52,66.68,Science,74.47,Sci&Tech,False,0,66.71,Mkt&HR,54.29,,False,,,4.0
17430,F,61.74,56.27,Arts,68.06,Comm&Mgmt,False,1,73.59,Mkt&Fin,63.2,,False,,2020-09-30,4.0
