student_id,gender,second_perc,high_perc,high_spec,degree_perc,degree_type,work_experience,experience_years,employability_perc,mba_spec,mba_perc,salary,placed,start_date,end_date,duration
17418,M,59.61,61.11,Commerce,65.32,Comm&Mgmt,False,0,57.29,Mkt&Fin,56.69,20000.0,True,2020-01-05,2020-08-04,6.0
17346,M,62.6,85.13,Commerce,66.5,Comm&Mgmt,False,0,84.98,Mkt&Fin,59.89,26500.0,True,2020-01-16,2020-08-11,5.0
17391,M,54.75,63.15,Commerce,72.34,Comm&Mgmt,False,0,57.54,Mkt&HR,61.01,20000.0,True,2020-01-24,2020-08-01,6.0
17286,M,70.34,81.85,Commerce,75.31,Comm&Mgmt,True,1,92.47,Mkt&Fin,64.21,24300.0,True,2020-01-14,2020-12-29,3.0
17427,M,61.65,76.1,Commerce,50.89,Comm&Mgmt,True,0,65.2,Mkt&Fin,58.73,24400.0,True,2020-01-16,2020-08-01,6.0
17434,M,65.02,72.22,Commerce,61.39,Comm&Mgmt,False,0,57.7,Mkt&Fin,66.49,21200.0,True,2020-01-27,2020-08-17,6.0
17469,M,73.98,78.07,Science,70.05,Comm&Mgmt,True,1,96.91,Mkt&Fin,61.07,21700.0,True,2020-01-09,2020-11-08,3.0
17440,M,64.68,65.96,Commerce,62.21,Comm&Mgmt,True,1,59.85,Mkt&Fin,54.22,27800.0,True,2020-01-16,2020-08-07,12.0
17334,M,60.69,60.54,Commerce,64.23,Comm&Mgmt,False,0,66.83,Mkt&HR,57.1,,False,,,
17319,F,69.42,74.55,Commerce,72.9,Comm&Mgmt,False,0,65.08,Mkt&Fin,73.02,23800.0,True,2020-01-21,2020-08-12,6.0
17329,M,64.37,80.24,Commerce,64.41,Comm&Mgmt,False,0,73.87,Mkt&Fin,73.8,28800.0,True,2020-07-22,2020-10-05,3.0
17318,M,73.85,82.79,Commerce,62.82,Comm&Mgmt,False,1,94.14,Mkt&Fin,71.38,22500.0,True,2020-01-26,2020-07-17,6.0
17423,M,53.35,53.68,Commerce,64.03,Comm&Mgmt,False,0,58.92,Mkt&HR,61.35,21500.0,True,2020-01-21,2020-10-31,3.0
17264,M,71.73,73.68,Commerce,64.43,Comm&Mgmt,True,0,50.0,Mkt&Fin,61.41,24800.0,True,2020-01-13,2021-01-10,3.0
17409,M,63.91,68.73,Commerce,65.66,Comm&Mgmt,False,0,64.4,Mkt&HR,56.23,25300.0,True,2020-01-15,2021-02-20,3.0
17293,M,55.98,83.58,Commerce,61.87,Comm&Mgmt,False,0,62.27,Mkt&HR,55.9,27400.0,True,2020-01-15,2020-11-13,3.0
17279,M,66.72,86.1,Commerce,65.43,Comm&Mgmt,False,0,68.1,Mkt&HR,56.23,,False,,,
17476,M,76.04,64.97,Science,72.19,Comm&Mgmt,False,0,59.96,Mkt&Fin,53.52,30400.0,True,2020-01-17,2020-10-15,3.0
17265,M,75.88,62.56,Commerce,83.1,Comm&Mgmt,False,0,71.71,Mkt&Fin,58.22,24600.0,True,2020-01-08,2021-01-06,3.0
17325,M,69.26,65.69,Commerce,66.48,Comm&Mgmt,False,0,57.04,Mkt&HR,57.39,,False,,,
17424,M,67.12,61.01,Science,50.0,Comm&Mgmt,False,0,78.37,Mkt&HR,56.08,25700.0,True,2020-01-16,2020-10-09,3.0
17400,M,63.11,58.69,Commerce,61.44,Comm&Mgmt,False,0,55.53,Mkt&HR,56.88,24200.0,True,2020-01-16,2020-08-25,3.0
17265,M,74.26,77.79,Commerce,65.37,Comm&Mgmt,False,0,57.27,Mkt&HR,59.54,26400.0,True,2020-01-19,2020-10-08,3.0
17370,M,58.21,67.38,Commerce,59.74,Comm&Mgmt,False,0,58.41,Mkt&HR,55.82,,False,,,
17340,M,74.57,78.73,Commerce,77.48,Comm&Mgmt,False,0,73.27,Mkt&Fin,63.61,21600.0,True,2020-01-22,2021-01-02,3.0
17321,M,61.99,83.53,Commerce,65.84,Comm&Mgmt,False,0,81.59,Mkt&Fin,61.95,29600.0,True,2020-06-20,2020-11-09,3.0
17287,M,71.8,60.49,Commerce,59.35,Comm&Mgmt,False,0,60.32,Mkt&HR,59.53,25600.0,True,2020-01-15,2020-08-14,6.0
17417,M,61.47,66.96,Commerce,65.13,Comm&Mgmt,False,0,53.58,Mkt&HR,57.25,22000.0,True,2020-01-12,2020-07-29,6.0
17426,M,48.29,54.96,Science,66.78,Comm&Mgmt,False,0,70.0,Mkt&HR,63.83,,False,,,
17287,M,57.84,83.74,Commerce,70.45,Comm&Mgmt,False,0,67.26,Mkt&Fin,61.62,25900.0,True,2020-01-28,2020-07-12,3.0
17337,M,67.7,77.94,Commerce,68.33,Comm&Mgmt,False,0,63.56,Mkt&Fin,61.28,26100.0,True,2020-01-26,2020-08-02,6.0
17316,F,88.43,79.29,Commerce,73.01,Comm&Mgmt,False,0,80.31,Mkt&Fin,74.76,28500.0,True,2020-07-25,2020-10-04,3.0
17478,M,59.97,67.59,Science,72.62,Comm&Mgmt,False,0,58.55,Mkt&Fin,58.04,26100.0,True,2020-01-22,2020-09-26,3.0
17443,M,70.28,65.25,Commerce,68.1,Comm&Mgmt,False,0,57.65,Mkt&HR,56.84,21200.0,True,2020-01-16,2020-11-10,3.0
17322,M,71.28,74.76,Commerce,66.93,Comm&Mgmt,False,0,78.59,Mkt&Fin,60.89,,False,,,
17373,M,82.78,63.15,Science,54.16,Comm&Mgmt,True,0,63.79,Mkt&Fin,53.35,27200.0,True,2020-01-18,2020-12-02,3.0
17332,M,82.89,67.85,Science,71.28,Comm&Mgmt,True,1,79.36,Mkt&Fin,65.34,23900.0,True,2020-01-04,2021-02-09,3.0
17361,M,73.42,74.95,Commerce,70.07,Comm&Mgmt,False,0,62.02,Mkt&HR,63.49,27200.0,True,2020-01-14,2020-11-01,3.0
17435,M,67.84,71.7,Commerce,71.37,Comm&Mgmt,False,0,72.37,Mkt&Fin,56.56,23500.0,True,2020-01-19,2020-08-05,12.0
17322,M,58.73,69.3,Science,72.81,Comm&Mgmt,True,1,88.17,Mkt&Fin,65.71,26000.0,True,2020-01-12,2020-11-16,3.0
17313,M,80.5,87.33,Commerce,71.15,Comm&Mgmt,False,0,88.3,Mkt&Fin,74.14,23000.0,True,2020-01-22,2020-04-11,3.0
17288,M,66.09,80.28,Commerce,71.14,Comm&Mgmt,True,1,76.69,Mkt&Fin,65.82,20400.0,True,2020-01-12,2020-07-10,6.0
17377,M,58.77,85.42,Science,57.57,Comm&Mgmt,False,0,60.4,Mkt&HR,51.21,29000.0,True,2020-01-26,2020-08-06,6.0
17450,M,53.23,68.54,Commerce,64.82,Comm&Mgmt,False,0,57.98,Mkt&HR,56.35,,False,2020-01-26,2020-06-26,
17335,M,64.39,82.48,Commerce,66.03,Comm&Mgmt,True,1,61.55,Mkt&Fin,66.62,22200.0,True,2020-01-15,2020-08-08,6.0
17404,M,61.8,62.68,Commerce,67.11,Comm&Mgmt,False,0,66.06,Mkt&HR,55.55,,False,,,
17348,M,66.68,56.41,Commerce,61.22,Comm&Mgmt,False,0,62.33,Mkt&Fin,56.68,,False,,,
17316,M,68.9,81.62,Science,62.19,Comm&Mgmt,True,1,93.86,Mkt&Fin,67.61,27600.0,True,2020-01-09,2020-12-07,12.0
17465,M,62.97,48.52,Science,54.66,Comm&Mgmt,False,0,68.18,Mkt&HR,52.38,,False,,,
17407,M,68.48,60.94,Commerce,67.45,Comm&Mgmt,False,0,52.88,Mkt&HR,61.21,23400.0,True,2020-01-11,2020-10-01,3.0
17367,F,66.38,71.47,Commerce,51.95,Comm&Mgmt,False,0,90.2,Mkt&HR,60.57,,False,,,
17462,M,72.55,65.31,Commerce,68.55,Comm&Mgmt,False,0,61.5,Mkt&HR,58.6,,False,,,
17411,M,58.07,61.14,Commerce,66.15,Comm&Mgmt,False,0,61.13,Mkt&Fin,58.84,24800.0,True,2020-02-02,2020-08-13,6.0
