user_id,country,gender,age
0,ES,M,22
1,US,F,42
2,ES,F,55
3,ES,M,45
4,US,M,39
5,ES,M,35
6,US,,35
7,ES,,42
8,US,M,24
9,US,F,38
10,UK,,32
11,US,,42
12,UK,M,42
13,DE,M,39
14,US,M,31
15,US,M,27
16,UK,F,41
17,DE,F,44
18,US,F,22
19,US,M,45
20,US,M,36
21,BG,M,27
22,UK,,26
23,UK,M,57
24,US,M,34
25,US,M,48
26,DE,,39
27,ES,M,43
28,ES,F,43
29,FR,,22
30,US,F,48
31,DE,F,52
32,FR,,53
33,UK,F,32
34,UK,,40
35,UK,F,44
36,ES,F,57
37,US,,22
38,DE,M,43
39,DE,F,43
40,US,M,33
41,ES,F,57
42,US,,42
43,US,M,31
44,US,,50
45,UK,F,57
46,US,M,40
47,DE,F,57
48,ES,M,51
49,DE,F,31
50,BG,M,33
51,ES,M,57
52,US,F,57
53,DE,M,31
54,BG,,32
55,ES,,39
56,ES,F,35
57,UK,M,22
58,ES,M,32
59,UK,,22
60,US,M,48
61,DE,F,24
62,US,M,36
63,DE,M,53
64,FR,,42
65,BG,F,36
66,US,M,29
67,UK,F,40
68,US,F,27
69,DE,,45
70,UK,M,38
71,UK,,28
72,US,M,25
73,UK,M,31
74,ES,M,22
75,ES,F,39
76,US,F,27
77,ES,F,45
78,US,,57
79,US,F,56
80,UK,F,29
81,DE,,29
82,ES,M,32
83,US,,41
84,FR,M,40
85,DE,F,28
86,US,M,44
87,ES,M,44
88,US,F,22
89,US,M,23
90,DE,,32
91,ES,M,28
92,UK,F,39
93,US,F,56
94,UK,M,46
95,US,F,22
96,BG,F,40
97,UK,F,42
98,US,,33
99,BG,M,25
