user_id,country,gender,age
0,UK,M,22
1,US,F,28
2,UK,M,33
3,BG,F,32
4,UK,M,34
5,DE,F,30
6,DE,M,46
7,US,M,28
8,ES,M,57
9,US,M,31
10,UK,,48
11,UK,,31
12,BG,F,33
13,DE,M,49
14,UK,M,24
15,US,M,47
16,US,M,46
17,BG,M,57
18,DE,F,25
19,UK,M,31
20,DE,F,48
21,UK,,49
22,UK,F,33
23,US,M,35
24,US,,33
25,DE,F,54
26,US,M,36
27,DE,M,57
28,FR,F,22
29,UK,,32
30,US,M,45
31,UK,,25
32,UK,F,26
33,UK,M,47
34,US,M,39
35,DE,M,50
36,US,M,40
37,UK,F,53
38,ES,,31
39,US,F,28
40,BG,M,55
41,UK,M,22
42,BG,F,56
43,ES,,42
44,US,F,35
45,ES,,25
46,ES,M,47
47,BG,M,47
48,FR,F,48
49,UK,M,51
50,US,M,46
51,US,,23
52,UK,M,36
53,FR,F,40
54,US,F,27
55,UK,M,38
56,FR,,22
57,ES,M,27
58,UK,F,31
59,US,,51
60,ES,M,44
61,US,,47
62,BG,M,48
63,ES,M,35
64,US,M,23
65,DE,,57
66,US,M,28
67,ES,F,44
68,DE,M,44
69,US,F,42
70,UK,F,25
71,BG,M,40
72,FR,M,57
73,UK,F,22
74,DE,,57
75,UK,F,38
76,UK,F,36
77,ES,M,35
78,UK,,22
79,UK,,22
80,UK,,40
81,UK,M,57
82,FR,,57
83,US,,36
84,ES,F,31
85,BG,M,45
86,ES,M,24
87,UK,F,57
88,DE,F,55
89,ES,M,43
90,DE,M,34
91,US,M,43
92,US,F,31
93,BG,M,48
94,ES,F,38
95,DE,M,55
96,UK,M,35
97,ES,M,47
98,BG,F,47
99,ES,M,39
